city,state,station,last_update,latitude,longitude,pm25,pm10,no2,so2,co,o3,aqi,aqi_category
Gorakhpur,Uttar_Pradesh,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",2025-05-19 10:00:00,26.730136,83.433859,88.0,124.0,11.0,34.0,6.0,14.0,193.37792642140468,Moderately Polluted
Greater Noida,Uttar_Pradesh,"Knowledge Park - III, Greater Noida - UPPCB",2025-05-19 10:00:00,28.47272,77.482,50.0,105.0,33.0,15.0,39.0,22.0,425.37688442211055,Severe
Greater Noida,Uttar_Pradesh,"Knowledge Park - V, Greater Noida - UPPCB",2025-05-19 10:00:00,28.557054,77.453663,70.0,141.0,49.0,10.0,32.0,8.0,388.28402366863907,Very Poor
Gummidipoondi,TamilNadu,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",2025-05-19 10:00:00,13.4127,80.1081,42.0,51.0,6.0,13.0,,,70.50167224080268,Satisfactory
Gurugram,Haryana,"NISE Gwal Pahari, Gurugram - IMD",2025-05-19 10:00:00,28.422681,77.148944,159.0,,14.0,,53.0,61.0,495.0251256281407,Severe
Guwahati,Assam,"IITG, Guwahati - PCBA",2025-05-19 10:00:00,26.2028636,91.70046436,26.0,27.0,,19.0,6.0,67.0,149.873417721519,Moderately Polluted
Guwahati,Assam,"LGBI Airport, Guwahati - PCBA",2025-05-19 10:00:00,26.10887,91.589544,46.0,39.0,19.0,10.0,51.0,18.0,485.0753768844221,Severe
Guwahati,Assam,"Pan Bazaar, Guwahati - PCBA",2025-05-19 10:00:00,26.1875,91.744194,18.0,14.0,,34.0,17.0,17.0,300.0,Poor
Gwalior,Madhya Pradesh,"City Center, Gwalior - MPPCB",2025-05-19 10:00:00,26.203442,78.193251,55.0,103.0,9.0,20.0,83.0,28.0,500.0,Severe
Gwalior,Madhya Pradesh,"Deen Dayal Nagar, Gwalior - MPPCB",2025-05-19 10:00:00,26.259242,78.216432,149.0,122.0,29.0,13.0,57.0,28.0,500.0,Severe
Gwalior,Madhya Pradesh,"Maharaj Bada, Gwalior - MPPCB",2025-05-19 10:00:00,26.200388,78.147714,65.0,125.0,25.0,12.0,40.0,44.0,430.35175879396985,Severe
Hajipur,Bihar,"Industrial Area, Hajipur - BSPCB",2025-05-19 10:00:00,25.697189,85.2459,57.0,54.0,18.0,9.0,20.0,76.0,317.98816568047334,Very Poor
